                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2448,                0.76726,                 1.1403,                0.86703,                0.73097,                 0.7907,                0.50785,                 1.2942,                0.69727,                 1.1716,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2394,                0.75921,                 1.1403,                0.87124,                0.72394,                0.79389,                0.51274,                 1.2745,                0.70865,                 1.1636,               0.001307,               0.001307,               0.001307
                     37,                 1.2253,                0.75815,                 1.1372,                0.90366,                0.72788,                0.79803,                0.50658,                 1.3247,                0.68686,                 1.1863,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2268,                0.74764,                  1.142,                0.87784,                0.72083,                0.78867,                0.50609,                 1.2797,                0.72298,                 1.1696,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2039,                0.73668,                 1.1292,                0.86079,                0.71296,                0.77566,                 0.4953,                 1.3064,                0.75848,                 1.1846,              0.0012476,              0.0012476,              0.0012476
                     40,                  1.202,                0.72823,                 1.1272,                0.89962,                0.71605,                0.79534,                0.51186,                 1.2928,                0.68532,                  1.159,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2059,                0.72341,                 1.1292,                0.89048,                0.71965,                0.79355,                0.51335,                 1.2721,                0.71413,                 1.1582,               0.001208,               0.001208,               0.001208
                     42,                 1.1993,                0.72842,                 1.1239,                0.90205,                 0.7037,                0.78865,                0.49507,                 1.3029,                0.70417,                 1.1945,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.1971,                0.71586,                  1.127,                0.89332,                0.72685,                0.80517,                0.52473,                   1.25,                0.67767,                 1.1508,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.1884,                0.70915,                 1.1249,                0.89518,                0.73805,                0.80748,                0.51949,                 1.2747,                0.66554,                 1.1646,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1731,                0.70212,                 1.1162,                0.87547,                0.74794,                0.80102,                0.51933,                 1.2607,                 0.6694,                  1.161,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1795,                0.71013,                 1.1193,                0.87814,                0.73764,                0.79561,                0.51614,                 1.2495,                0.68224,                 1.1583,               0.001109,               0.001109,               0.001109
                     47,                 1.1715,                0.69116,                 1.1112,                0.88865,                0.74713,                0.80921,                 0.5255,                 1.2406,                0.66152,                 1.1448,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1568,                0.68799,                  1.109,                0.88817,                0.74537,                0.80653,                0.52471,                 1.2535,                0.64596,                  1.151,              0.0010694,              0.0010694,              0.0010694
                     49,                  1.141,                0.68611,                 1.1018,                0.90001,                 0.7223,                0.80377,                 0.5265,                 1.2565,                0.67545,                 1.1502,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.1458,                0.67651,                 1.1044,                0.87697,                 0.7517,                0.80641,                0.52927,                 1.2432,                0.64122,                 1.1482,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1375,                  0.668,                  1.098,                0.88903,                0.74589,                0.80898,                0.53438,                 1.2221,                0.64682,                 1.1466,                0.00101,                0.00101,                0.00101
                     52,                 1.1486,                0.67868,                 1.1071,                0.88826,                0.74834,                0.81111,                0.53489,                 1.2288,                0.64075,                 1.1436,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1272,                0.67199,                 1.0965,                0.88247,                0.75514,                0.80872,                0.53418,                 1.2265,                0.66031,                  1.137,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1332,                0.66946,                  1.098,                0.88204,                0.75387,                0.80703,                0.52442,                 1.2547,                0.64654,                 1.1537,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1252,                0.66567,                 1.0977,                0.87146,                0.74743,                0.79965,                0.53147,                   1.22,                0.67098,                 1.1482,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1218,                0.65249,                 1.0922,                0.88594,                0.75412,                0.81182,                0.54246,                 1.2026,                0.64639,                 1.1365,               0.000911,               0.000911,               0.000911
                     57,                 1.1162,                0.65045,                 1.0913,                0.88519,                0.75357,                0.81586,                 0.5449,                 1.1945,                0.61679,                 1.1273,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1133,                0.64969,                  1.089,                0.88448,                0.75257,                0.80843,                0.54056,                 1.1917,                0.63329,                 1.1238,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.0988,                0.64281,                 1.0834,                0.87334,                0.76612,                0.81156,                0.53483,                 1.2186,                0.63032,                 1.1478,              0.0008516,              0.0008516,              0.0008516
                     60,                  1.096,                0.64396,                 1.0833,                0.88883,                0.76496,                0.82252,                  0.554,                 1.1704,                0.61054,                 1.1139,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0934,                0.64151,                 1.0797,                0.89289,                0.75042,                0.81507,                0.54407,                 1.1864,                0.62652,                 1.1294,               0.000812,               0.000812,               0.000812
                     62,                 1.0834,                0.64019,                 1.0752,                 0.8876,                0.76369,                0.82193,                0.55445,                 1.1812,                0.60397,                  1.121,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0843,                 0.6317,                   1.08,                0.89982,                0.75313,                0.82503,                0.56237,                 1.1576,                0.59638,                 1.1071,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.0752,                0.63054,                 1.0747,                0.89004,                 0.7608,                 0.8216,                0.55558,                  1.167,                0.59832,                 1.1216,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0614,                0.61529,                 1.0694,                0.91304,                0.75257,                0.82312,                0.55186,                 1.1872,                0.59138,                 1.1166,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0735,                0.62259,                  1.069,                0.89366,                0.76698,                0.82139,                0.55461,                 1.1742,                0.60345,                 1.1222,               0.000713,               0.000713,               0.000713
                     67,                 1.0553,                0.60887,                 1.0663,                 0.9057,                0.75097,                0.82026,                0.55962,                 1.1798,                    0.6,                 1.1214,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0629,                0.61149,                 1.0696,                0.90104,                0.76903,                0.82839,                0.56421,                 1.1423,                  0.593,                 1.1081,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0607,                0.60678,                 1.0677,                0.89667,                0.77228,                0.83017,                0.56785,                 1.1477,                0.58825,                 1.1099,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0502,                0.60519,                 1.0625,                0.89055,                0.77315,                0.82996,                0.56606,                 1.1495,                0.57596,                 1.1086,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0457,                0.59753,                 1.0625,                0.89172,                0.76252,                 0.8253,                0.56265,                 1.1535,                0.60401,                  1.112,               0.000614,               0.000614,               0.000614
                     72,                 1.0506,                0.60851,                 1.0643,                0.91393,                 0.7572,                0.82624,                0.56794,                 1.1431,                0.58115,                 1.0975,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0432,                0.59352,                 1.0597,                0.90041,                0.77881,                0.83137,                0.57273,                 1.1388,                0.56806,                 1.0966,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0238,                0.58497,                 1.0535,                 0.9181,                0.76699,                0.83538,                0.57525,                 1.1272,                0.57361,                 1.0929,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0331,                0.58619,                 1.0566,                0.88762,                0.77601,                0.83024,                0.56514,                 1.1539,                0.56942,                  1.109,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0299,                0.59193,                 1.0583,                0.89912,                0.77881,                0.83293,                0.57574,                 1.1318,                0.57168,                 1.1006,               0.000515,               0.000515,               0.000515
                     77,                 1.0123,                0.57942,                 1.0502,                0.89165,                0.77521,                0.83133,                0.57687,                  1.128,                0.56627,                 1.1083,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0149,                0.57608,                 1.0473,                 0.8966,                0.77623,                0.83439,                0.57802,                 1.1371,                0.56101,                 1.1058,              0.0004754,              0.0004754,              0.0004754
                     79,                0.99902,                0.56945,                 1.0446,                0.90357,                0.76852,                0.82884,                0.57455,                  1.119,                 0.5612,                 1.0953,              0.0004556,              0.0004556,              0.0004556
                     80,                0.99773,                0.56943,                 1.0447,                0.89459,                0.77708,                0.82975,                0.57693,                 1.1219,                0.56308,                  1.099,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0055,                0.56483,                 1.0473,                 0.8875,                0.78344,                 0.8305,                0.57573,                 1.1273,                0.56073,                 1.0958,               0.000416,               0.000416,               0.000416
                     82,                  1.001,                0.56727,                 1.0421,                0.88739,                0.78232,                0.83047,                0.57959,                 1.1168,                0.55948,                 1.0976,              0.0003962,              0.0003962,              0.0003962
                     83,                 0.9873,                0.55328,                 1.0391,                0.90063,                0.77932,                0.83591,                0.58546,                 1.1214,                0.54636,                  1.091,              0.0003764,              0.0003764,              0.0003764
                     84,                 0.9826,                0.55814,                  1.038,                0.91133,                0.77058,                0.83469,                0.58361,                 1.1124,                  0.557,                 1.0938,              0.0003566,              0.0003566,              0.0003566
                     85,                0.97746,                0.54993,                 1.0413,                0.90978,                0.76771,                0.83284,                0.58001,                 1.1126,                0.56107,                 1.0964,              0.0003368,              0.0003368,              0.0003368
                     86,                0.98931,                0.55547,                 1.0436,                0.90649,                0.77291,                0.83342,                 0.5797,                 1.1097,                0.55056,                 1.0922,               0.000317,               0.000317,               0.000317
                     87,                  0.985,                0.55122,                 1.0373,                0.89566,                0.78159,                0.83597,                0.58265,                 1.1096,                0.55287,                 1.0897,              0.0002972,              0.0002972,              0.0002972
                     88,                0.96603,                0.53778,                 1.0312,                0.90486,                0.77778,                0.84034,                0.58608,                 1.0987,                0.53837,                 1.0845,              0.0002774,              0.0002774,              0.0002774
                     89,                0.96247,                0.54042,                 1.0334,                0.88882,                0.78958,                0.84005,                0.59046,                 1.0933,                0.53894,                 1.0846,              0.0002576,              0.0002576,              0.0002576
                     90,                0.96749,                0.54517,                 1.0302,                0.89146,                0.79578,                0.83922,                0.59069,                 1.0909,                0.53812,                  1.082,              0.0002378,              0.0002378,              0.0002378
                     91,                0.86011,                0.44649,                0.98775,                0.88962,                0.79372,                0.83528,                0.58516,                 1.0994,                0.54093,                 1.0871,               0.000218,               0.000218,               0.000218
                     92,                0.83482,                0.42484,                0.97618,                0.90183,                0.78444,                0.83651,                0.59004,                 1.0875,                0.54369,                 1.0832,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.8189,                0.41308,                0.97198,                0.91029,                0.79064,                0.84172,                0.59218,                 1.0806,                0.53526,                   1.08,              0.0001784,              0.0001784,              0.0001784
                     94,                0.81617,                0.40351,                0.96556,                0.90685,                0.79218,                0.83931,                0.59321,                 1.0838,                0.53995,                  1.077,              0.0001586,              0.0001586,              0.0001586
                     95,                0.80571,                 0.3998,                  0.959,                 0.9007,                0.78807,                0.83998,                0.59717,                 1.0753,                0.52786,                  1.073,              0.0001388,              0.0001388,              0.0001388
                     96,                0.79646,                0.39267,                0.95889,                0.91881,                0.77469,                0.83972,                0.59855,                 1.0732,                0.53088,                 1.0732,               0.000119,               0.000119,               0.000119
                     97,                0.78449,                0.39041,                0.95406,                0.91131,                0.78549,                0.83892,                0.60135,                 1.0671,                0.52871,                 1.0737,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 0.7837,                0.39151,                0.94936,                0.91036,                0.78367,                0.84264,                0.59858,                 1.0711,                0.52638,                  1.074,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.78859,                0.38537,                0.95762,                0.91656,                0.78545,                0.84239,                0.60186,                 1.0687,                0.52375,                 1.0736,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.77255,                 0.3794,                0.95427,                0.91281,                0.78704,                0.84343,                0.60321,                 1.0662,                0.52334,                 1.0721,               3.98e-05,               3.98e-05,               3.98e-05
